n,N,NN,overlap_n,residual norm,iterations,condition number,estimate,ratio
512,16,8,1,0.0007089088560455483,154,1003.2300479257507,128.0,7.837734749419927
512,16,8,2,0.0006322246364008919,129,760.2772310127262,64.0,11.879331734573848
512,16,8,4,0.0005378145216899541,96,511.3886796658884,32.0,15.980896239559012
512,16,8,8,0.0006199024243846134,66,299.5295615441066,16.0,18.720597596506664
512,16,8,16,0.0006544300283037452,55,166.32591933353123,8.0,20.790739916691404
512,32,8,0,0.0007093316546832348,241,1662.9077914018258,256.0,6.495733560163382
512,32,8,1,0.0006811848098619063,190,1250.4105858582438,256.0,4.884416351008765
512,32,8,2,0.0005675649461761475,164,1028.0259336596516,128.0,8.031452606716028
512,32,8,4,0.0006806297231711273,128,751.1923982856435,64.0,11.73738122321318
512,32,8,8,0.0005968779359364418,102,505.16904426693986,32.0,15.78653263334187
512,64,8,0,0.0007123249035623861,304,2595.1152565489447,512.0,5.068584485447158
512,64,8,1,0.000712887927861779,209,1542.1360300633526,512.0,3.0119844337174855
512,64,8,2,0.0006975424665610556,189,1276.3398291988185,256.0,4.985702457807885
512,64,8,4,0.000720789548252699,167,1081.6393581515888,128.0,8.450307485559287
512,128,8,0,0.0006742897361015456,387,4194.948208776034,1024.0,4.096629110132846
512,128,8,1,0.0005934701791083183,250,1908.8343172706775,1024.0,1.864096012959646
512,128,8,2,0.0006559462140636904,245,1653.795172643922,512.0,3.23006869657016
512,256,8,0,0.0007123206850648999,506,7473.507025197343,2048.0,3.64917335214714
512,256,8,1,0.0007066364757395584,291,2421.3303252092355,2048.0,1.182290197856072
512,512,8,0,0.0007190347479232209,688,13243.622605231762,4096.0,3.2333063001054105
