n,N,NN,overlap_n,preconditioner,solver,coefficient,coefficient_param,residual norm,iterations,condition number
32,32,16,0,Hybrid,GMRES,solvers checkerboard,1000000.0,2.2652438595232448e-07,60,
32,32,16,0,Hybrid,CG,solvers checkerboard,1000000.0,1.7117089272514138e-07,41,19.628078855928734
32,32,32,0,Additive,GMRES,continuous,,2.9405503114203165e-07,46,
32,32,32,0,Additive,CG,continuous,,3.1999470260640153e-07,44,21.759068185328488
32,32,32,0,Multiplicative Symmetric,GMRES,continuous,,3.103058028883708e-07,17,
32,32,32,0,Multiplicative Symmetric,CG,continuous,,2.852619920077504e-07,19,4.9119840446331295
32,32,32,0,Multiplicative,GMRES,continuous,,2.967899328379076e-07,27,
32,32,32,0,Hybrid,GMRES,continuous,,5.0590119188379274e-08,34,
32,32,32,0,Hybrid,CG,continuous,,3.3426532464123334e-07,30,10.93782937010753
32,32,32,0,Additive,GMRES,constant,,2.5480792792410515e-07,46,
32,32,32,0,Additive,CG,constant,,3.523240384887659e-07,44,21.66611939080078
32,32,32,0,Multiplicative Symmetric,GMRES,constant,,4.0469114830300093e-07,17,
32,32,32,0,Multiplicative Symmetric,CG,constant,,4.0109437866865765e-07,19,5.006624790642232
32,32,32,0,Multiplicative,GMRES,constant,,3.1759769377342937e-07,27,
32,32,32,0,Hybrid,GMRES,constant,,2.698803713716071e-07,31,
32,32,32,0,Hybrid,CG,constant,,3.8356275121676754e-07,30,10.948159777463783
32,32,32,0,Additive,GMRES,coarse checkerboard,1000000.0,1.8631457951513346e-07,62,
32,32,32,0,Additive,CG,coarse checkerboard,1000000.0,2.577454429862474e-07,36,15.572754105231635
32,32,32,0,Multiplicative Symmetric,GMRES,coarse checkerboard,1000000.0,4.7305226698936865e-08,15,
32,32,32,0,Multiplicative Symmetric,CG,coarse checkerboard,1000000.0,3.3478862496567826e-07,15,3.317440493109
32,32,32,0,Multiplicative,GMRES,coarse checkerboard,1000000.0,2.0563159471733008e-07,19,
32,32,32,0,Hybrid,GMRES,coarse checkerboard,1000000.0,5.5844621064762355e-08,21,
32,32,32,0,Hybrid,CG,coarse checkerboard,1000000.0,2.052740835346149e-07,16,3.0181103337564545
32,32,32,0,Additive,GMRES,solvers checkerboard,1000000.0,4.0476770955973175e-07,62,
32,32,32,0,Additive,CG,solvers checkerboard,1000000.0,3.1511028148212055e-07,36,15.57672531864278
32,32,32,0,Multiplicative Symmetric,GMRES,solvers checkerboard,1000000.0,4.2059623578398026e-08,15,
32,32,32,0,Multiplicative Symmetric,CG,solvers checkerboard,1000000.0,3.5247769513913325e-07,15,3.351561196049272
32,32,32,0,Multiplicative,GMRES,solvers checkerboard,1000000.0,2.1839344421003213e-07,19,
32,32,32,0,Hybrid,GMRES,solvers checkerboard,1000000.0,4.681295522736111e-09,24,
32,32,32,0,Hybrid,CG,solvers checkerboard,1000000.0,1.7179310912167552e-07,16,3.0299693111095753
