n,N,NN,overlap_n,residual norm,iterations,condition number,estimate,ratio
256,32,16,4,0.00035206046745744874,86,259.93768513767884,8.0,32.492210642209855
256,32,32,0,0.00030975676245246516,79,143.8818155656219,8.0,17.98522694570274
256,32,32,1,0.0003297114429215983,82,167.2341539796158,8.0,20.904269247451975
256,32,32,2,0.0003035518460763499,76,160.06792600336522,4.0,40.016981500841304
256,32,32,4,0.0002807563124339489,73,159.23708286008886,2.0,79.61854143004443
256,64,16,0,0.0003478206023950355,129,402.34353055367365,64.0,6.286617664901151
256,64,16,1,0.00032635767441586175,115,358.6065534206933,64.0,5.603227397198332
256,64,16,2,0.0003593088397484405,112,367.59931614913637,32.0,11.487478629660512
256,64,32,0,0.00036095443871082117,82,152.63987472529905,16.0,9.53999217033119
256,64,32,1,0.00036056076993003103,82,166.00929691094888,16.0,10.375581056934305
256,64,32,2,0.0003455233995563552,89,192.67082502246765,8.0,24.083853127808457
256,64,64,0,0.00032738255708818177,57,71.86769018896628,4.0,17.96692254724157
256,64,64,1,0.0003405638405908629,59,86.56799877287916,4.0,21.64199969321979
256,64,64,2,0.0002954270088873689,65,97.2039448470508,2.0,48.6019724235254
256,128,16,0,0.0003396992331437414,157,582.3991159899615,128.0,4.549993093671574
256,128,16,1,0.00032433944275765496,133,429.10392211350234,128.0,3.352374391511737
256,128,32,0,0.0003455994797073206,92,190.45105527288322,32.0,5.951595477277601
256,128,32,1,0.00031427243241243153,94,202.70790523654435,32.0,6.334622038642011
256,128,64,0,0.0002616955750936686,60,73.8550102893778,8.0,9.231876286172225
256,128,64,1,0.0003432977843412817,67,101.48606134970765,8.0,12.685757668713457
256,128,128,0,0.0002913907842606772,42,36.35540840401485,2.0,18.177704202007426
256,128,128,1,0.00035769097180157164,47,49.016342768056816,2.0,24.508171384028408
256,256,16,0,0.00033115907815114845,198,926.7419075085575,256.0,3.6200855762053026
256,256,32,0,0.0003227331947172652,112,272.32523955807744,64.0,4.25508186809496
256,256,64,0,0.00035126031268267673,65,88.23981057040031,16.0,5.514988160650019
256,256,128,0,0.00030793708574494716,42,35.07265983165312,4.0,8.76816495791328
256,256,256,0,0.0002944736448008011,34,22.506344240330545,1.0,22.506344240330545
